# generation best_length mean_best_half
476 67.0849573999 69.9985421345
477 67.0849573999 70.2036465869
478 67.0849573999 71.3701152914
479 67.0849573999 71.6478288022
480 67.0849573999 71.0906631090
481 67.0849573999 70.5638584518
482 67.0849573999 70.0004751260
483 67.0849573999 70.3195431150
484 67.0849573999 69.8606390109
485 67.0849573999 70.0098335925
486 66.4672105699 69.3810788132
487 66.4672105699 69.6159213086
488 66.4672105699 69.4648486013
489 66.4672105699 69.8988237217
490 66.3909412444 70.4666263072
491 66.3909412444 70.6674416717
492 66.3909412444 70.4759625453
493 66.3909412444 70.3000438204
494 66.3909412444 70.2831936896
495 66.3909412444 70.3440193734
496 66.3909412444 69.7960136890
497 66.3909412444 69.9243367546
498 66.3489522535 70.1104594053
499 66.3489522535 69.6312352007
500 66.3296700377 70.3473109423
501 66.2788884691 69.8954183536
502 66.1413479369 69.6943519075
503 66.1413479369 69.7101329278
504 66.1413479369 70.0341983969
505 66.1413479369 69.9793278681
506 66.1413479369 69.6174127176
507 66.1413479369 69.3012462953
508 66.1413479369 69.1364557167
509 66.1413479369 69.1664268729
510 66.1413479369 69.0330389775
511 66.1413479369 68.6347195075
512 66.1413479369 68.8723469504
513 66.1413479369 69.7290131160
514 66.1413479369 70.1016692391
515 66.1413479369 69.6637467051
516 66.1413479369 70.0870122474
517 66.1413479369 69.5197183741
518 66.1413479369 69.4243995358
519 66.1413479369 69.1688505066
520 66.1413479369 69.5008254334
521 66.1413479369 69.5468740957
522 66.1413479369 68.7060137122
523 66.1413479369 67.9570358980
524 66.1413479369 68.3141891869
525 66.1413479369 68.3903940976
526 66.1413479369 68.9431356500
527 66.1413479369 69.1527892906
528 66.1413479369 69.0913467088
529 66.1413479369 68.9324485443
530 66.1413479369 68.7192558168
531 65.9995263796 68.5217489309
532 65.9995263796 69.1201148420
533 65.9995263796 69.3465704193
534 65.9995263796 68.6273963550
535 65.9995263796 69.1060080457
536 65.9995263796 69.7921944407
537 65.9995263796 70.3850422873
538 65.9995263796 70.2718837844
539 65.9995263796 70.1294436583
540 65.9995263796 70.1024368525
541 65.9995263796 68.9003328089
542 65.9995263796 69.3078502463
543 65.9995263796 69.5258908874
544 65.9995263796 68.8771050155
545 65.9995263796 69.4690941586
546 65.9995263796 68.9825805562
547 65.9995263796 68.9180418120
548 65.9995263796 69.0804748765
549 65.9995263796 69.5874108185
550 65.7680188644 70.5165393914
551 65.7680188644 70.3204742967
552 65.7680188644 69.9009677586
553 65.7680188644 71.9744341349
554 65.7680188644 72.8508628207
555 65.7680188644 73.8965081694
556 65.7680188644 75.1441093897
557 65.7680188644 76.2005730469
558 65.7680188644 75.9222176286
559 65.7680188644 76.7226372555
560 65.7680188644 76.1452589530
561 65.7062873059 74.5027425096
562 65.7062873059 72.8281580398
563 65.7062873059 72.3738485504
564 65.7062873059 71.4075452714
565 65.7062873059 70.2800771204
566 65.7062873059 69.6871151017
567 65.7062873059 69.9906430191
568 65.7062873059 69.5999777935
569 65.7062873059 69.1201579081
570 65.7062873059 69.1875744864
571 65.7062873059 69.5029594512
572 65.7062873059 69.6841976178
573 65.7062873059 69.4394800093
574 65.7062873059 69.1904742214
575 65.7062873059 68.4674971080
576 65.7062873059 69.0818550073
577 65.7062873059 69.2303372679
578 65.7062873059 69.6506161086
579 65.7062873059 69.7982371549
580 65.7062873059 69.1795304472
581 65.7062873059 69.0133802958
582 65.7062873059 69.0904284307
583 65.7062873059 68.8952842474
584 65.7062873059 69.1543947995
585 65.7062873059 68.7299370550
586 65.7062873059 67.9579562882
587 65.7062873059 67.9145477293
588 65.7062873059 67.8420530027
589 65.7062873059 67.4466869850
590 65.7062873059 68.0731916202
591 65.7062873059 68.2179269590
592 65.5560057022 68.0628427123
593 65.5560057022 68.4005349706
594 65.5560057022 68.8379177628
595 65.5560057022 69.0372020402
596 65.5560057022 69.8938382684
597 65.5560057022 69.3293127453
598 65.5560057022 69.4134809476
599 65.5560057022 69.1946154683
600 65.5560057022 69.1882340316
601 65.5560057022 69.7827327625
602 65.5560057022 69.3783871765
603 65.5560057022 69.9921821892
604 65.5560057022 69.0144175891
605 65.5560057022 68.8141829359
606 65.5560057022 69.1882326688
607 65.5560057022 69.5093179602
608 65.5560057022 68.7865337108
609 65.5560057022 69.1555008370
610 65.5560057022 68.7845585830
611 65.5560057022 68.2572556946
612 65.5560057022 68.2156784087
613 65.5560057022 68.9850389709
614 65.5560057022 68.9561191989
615 65.5560057022 69.0840539955
616 65.5560057022 68.3624984506
617 65.5560057022 68.1753711004
618 65.5560057022 68.1631264303
619 65.5560057022 68.4260646261
620 65.5560057022 68.4589234876
621 65.5560057022 68.0903489269
622 65.5560057022 68.1712889085
623 65.5560057022 68.3629164042
624 65.5560057022 68.1066667749
625 65.5560057022 68.9297265967
626 65.5560057022 68.5356331075
627 65.5560057022 68.3472427887
628 65.5560057022 67.9859492579
629 65.5560057022 68.3445303938
630 65.5560057022 68.4699257172
631 65.5560057022 68.4822913677
632 65.5560057022 68.4613765169
633 65.5560057022 68.7985166448
634 65.5560057022 68.8919413358
635 65.5560057022 68.8865983783
636 65.5560057022 68.8620915083
637 65.5560057022 68.6741381502
638 65.5560057022 68.8300747363
639 65.5560057022 68.4964299983
640 65.5560057022 68.7436765347
641 65.5560057022 68.8398232521
642 65.5560057022 68.4993214261
643 65.5560057022 68.6865510613
644 65.5560057022 68.6127125970
645 65.5560057022 68.5747520172
646 65.5560057022 68.2899329072
647 65.5560057022 68.3275409414
648 65.5560057022 68.2149280919
649 65.5560057022 68.2672328469
650 65.5560057022 68.5663743202
651 65.5560057022 68.6246129209
652 65.5560057022 69.6373725244
653 65.5560057022 69.4396075151
654 65.5560057022 69.7245628816
655 65.5560057022 69.0673106614
656 65.5560057022 68.7762536063
657 65.5560057022 68.8130502425
658 65.5560057022 68.8517715827
659 65.5560057022 69.1271452596
660 65.5560057022 68.8756915606
661 65.5560057022 68.9666996495
662 65.5560057022 68.7948089261
663 65.5560057022 69.1709431124
664 65.5560057022 69.1107297211
665 65.5560057022 68.7598067011
666 65.5560057022 68.4035964746
667 65.5560057022 68.7569931706
668 65.5560057022 68.4932367555
669 65.5560057022 68.6707835785
670 65.5560057022 69.0711023501
671 65.5560057022 68.9566621219
672 65.5560057022 68.9815263418
673 65.5560057022 68.4029283160
674 65.5560057022 68.9662783395
675 65.5560057022 69.2042668702
676 65.5560057022 70.0135564094
677 65.5560057022 68.3181367819
678 65.5560057022 68.5849022894
679 65.5560057022 68.8554953239
680 65.5560057022 68.8574757180
681 65.5560057022 68.9883370057
682 65.5560057022 68.8344101470
683 65.5560057022 68.7970477462
684 65.5560057022 69.2451416237
685 65.5560057022 69.2116701034
686 65.5560057022 68.2875683588
687 65.5560057022 69.0349270820
688 65.5560057022 68.4508919559
689 65.5560057022 68.9715371291
690 65.5560057022 68.3666769747
691 65.5560057022 69.1987769457
692 65.5560057022 68.8138539104
693 65.5560057022 68.3812813150
694 65.5560057022 68.3875806276
