# generation best_length mean_best_half
493 70.2711693360 73.6002190248
494 70.2711693360 73.2369455871
495 70.2711693360 73.6230532468
496 70.2711693360 73.3714749533
497 70.2711693360 73.3323085315
498 69.8491524576 73.7099039048
499 69.8491524576 73.2063071368
500 69.6327660092 74.0167490406
501 69.6327660092 73.2857805396
502 69.6327660092 72.9812880716
503 69.6327660092 72.3344080986
504 69.6327660092 72.7635177849
505 69.6327660092 72.6530142511
506 69.6327660092 72.4332158972
507 69.6327660092 72.2661836311
508 69.6327660092 71.9865503105
509 69.6327660092 71.8071061420
510 69.6327660092 72.3138414891
511 69.6327660092 72.2984394743
512 69.6327660092 72.4908910956
513 69.6327660092 73.0596841901
514 69.6327660092 73.4984697946
515 69.6327660092 72.9953409070
516 69.6327660092 73.3734397940
517 69.6327660092 72.8434173356
518 69.6327660092 72.7669495349
519 69.6327660092 72.4411040894
520 69.6327660092 72.5112721596
521 69.6327660092 72.5838075966
522 69.6327660092 71.9754682439
523 69.6327660092 71.3534834958
524 69.5869423945 71.7559377270
525 69.5869423945 71.8463780366
526 69.5869423945 72.2139925311
527 69.5869423945 72.3516974672
528 69.5869423945 72.2239694795
529 69.5869423945 72.0557192923
530 69.5869423945 71.8826859789
531 69.5869423945 71.4735340523
532 69.5869423945 71.9056903673
533 69.5869423945 72.0786673651
534 69.5869423945 71.4025661351
535 69.5869423945 71.7385778894
536 69.5869423945 72.2758040836
537 69.5869423945 72.9571732452
538 69.5869423945 73.0502508216
539 69.5869423945 73.3411446858
540 69.5869423945 73.1680387605
541 69.5869423945 72.2740190057
542 69.5869423945 72.4007817035
543 69.5869423945 72.6706964911
544 69.5869423945 72.1331977815
545 69.5869423945 72.7000429606
546 69.5869423945 72.1496907054
547 69.5869423945 72.0111109895
548 69.5869423945 72.2812843291
549 69.5869423945 72.6572317485
550 69.5869423945 73.3228118856
551 69.5869423945 72.9198078045
552 69.5869423945 72.3741789392
553 69.5869423945 73.0960847776
554 69.5869423945 72.6102027211
555 69.5869423945 72.9770750584
556 69.5869423945 72.2174034756
557 69.5869423945 72.0900080260
558 69.5869423945 71.7137572607
559 69.5869423945 72.8607795349
560 69.5869423945 73.1073426144
561 69.5869423945 72.9041252573
562 69.5869423945 72.6861771875
563 69.5869423945 73.0030769486
564 69.2530808732 72.7892742402
565 69.2530808732 72.4740323722
566 69.2530808732 72.3057661405
567 69.2530808732 72.9198633710
568 69.2530808732 72.8397608219
569 69.2530808732 72.4194184527
570 69.2530808732 72.5399740306
571 69.2530808732 72.5971415842
572 69.2530808732 72.5701491155
573 69.2530808732 72.6459530107
574 69.2530808732 72.3198392799
575 69.2530808732 71.9270913642
576 69.2530808732 72.2588242395
577 69.2530808732 72.4734603028
578 69.2530808732 72.7506492624
579 69.2530808732 73.0323792442
580 69.2530808732 72.5156704835
581 69.2530808732 72.3223211395
582 69.2530808732 72.3395901026
583 69.2530808732 72.0014559170
584 69.2530808732 72.3754392700
585 69.2530808732 72.0299721289
586 69.2530808732 71.5954192751
587 69.2530808732 71.6473594144
588 69.2530808732 71.3000672197
589 69.2530808732 70.9516650648
590 69.2530808732 71.5273206364
591 69.2530808732 71.6549078147
592 69.2530808732 71.4585171773
593 69.2530808732 71.7872912430
594 69.2530808732 72.0895094920
595 69.2530808732 72.1170988459
596 69.2530808732 73.0991053561
597 69.2530808732 72.9071938160
598 69.2530808732 72.8623126887
599 69.2530808732 72.6086772561
600 69.2530808732 72.7248372899
601 69.2530808732 73.3497952752
