# step r x y z
421 4.40221 2.03265 1.28468 3.68746
422 4.40221 2.03265 1.28468 3.68746
423 2.15501 -0.512918 -0.498768 2.03278
424 4.41684 -0.594943 -2.60379 3.51779
425 3.77072 0.122977 0.388429 3.74865
426 3.77072 0.122977 0.388429 3.74865
427 3.77072 0.122977 0.388429 3.74865
428 5.88547 0.54764 -1.15109 5.74577
429 5.88547 0.54764 -1.15109 5.74577
430 5.88547 0.54764 -1.15109 5.74577
431 7.38204 3.37962 -1.29033 6.43489
432 7.38204 3.37962 -1.29033 6.43489
433 6.75156 5.10636 -0.605812 4.37513
434 6.31912 3.05739 -2.20266 5.07266
435 6.31912 3.05739 -2.20266 5.07266
436 6.31912 3.05739 -2.20266 5.07266
437 6.31912 3.05739 -2.20266 5.07266
438 6.55273 4.63256 0.452217 4.61228
439 6.55273 4.63256 0.452217 4.61228
440 6.99157 2.73989 3.34524 5.49403
441 8.62695 0.822982 3.03801 8.03228
442 8.62695 0.822982 3.03801 8.03228
443 8.62695 0.822982 3.03801 8.03228
444 8.72072 0.574265 2.70728 8.26993
445 8.72072 0.574265 2.70728 8.26993
446 6.29949 2.05619 1.85225 5.65905
447 6.74306 1.2461 0.721484 6.58753
448 6.79206 1.2366 0.102966 6.67774
449 5.18174 -0.990616 0.261627 5.07944
450 3.39297 -2.39789 0.796973 2.26433
451 3.39297 -2.39789 0.796973 2.26433
452 3.39297 -2.39789 0.796973 2.26433
453 3.39297 -2.39789 0.796973 2.26433
454 3.39297 -2.39789 0.796973 2.26433
455 5.62923 -2.82755 0.428152 4.8487
456 6.24758 -5.18848 0.952087 3.34746
457 4.13903 -2.58668 -0.0436034 3.2309
458 1.65957 -0.0458641 -1.42762 0.844967
459 1.65957 -0.0458641 -1.42762 0.844967
460 2.55884 2.01058 -0.544354 1.48624
461 2.55884 2.01058 -0.544354 1.48624
462 2.68718 0.396039 -2.34932 1.24289
463 2.68718 0.396039 -2.34932 1.24289
464 2.90765 -1.38704 -0.647709 2.47205
465 1.9357 -0.252344 0.897439 1.69642
466 1.9357 -0.252344 0.897439 1.69642
467 1.9357 -0.252344 0.897439 1.69642
468 4.07234 -2.20986 0.96656 3.2812
469 4.07234 -2.20986 0.96656 3.2812
470 5.01438 -4.012 -0.16659 3.00335
471 3.73044 -2.83286 -0.0616529 2.42639
472 3.73044 -2.83286 -0.0616529 2.42639
473 3.73044 -2.83286 -0.0616529 2.42639
474 3.73044 -2.83286 -0.0616529 2.42639
475 3.73044 -2.83286 -0.0616529 2.42639
476 5.12658 -1.98158 -0.36942 4.71367
477 3.98836 0.911942 -0.921665 3.77173
478 3.98836 0.911942 -0.921665 3.77173
479 2.63712 0.0719042 1.29185 2.29791
480 2.63712 0.0719042 1.29185 2.29791
481 2.21509 -1.4505 1.48824 0.766716
482 2.21509 -1.4505 1.48824 0.766716
483 2.21509 -1.4505 1.48824 0.766716
484 2.21509 -1.4505 1.48824 0.766716
485 3.27836 -2.68796 0.372733 -1.83945
486 3.27836 -2.68796 0.372733 -1.83945
487 3.27836 -2.68796 0.372733 -1.83945
488 3.50817 -0.55188 -2.23659 -2.64582
489 1.35399 -0.928463 0.340209 -0.92494
490 3.58892 1.51182 -0.974718 -3.10559
491 3.58892 1.51182 -0.974718 -3.10559
492 4.36247 -0.480538 -0.286747 -4.32643
493 6.76685 -1.21217 -0.563504 -6.6335
494 6.19494 0.897262 -3.33146 -5.14525
495 6.19494 0.897262 -3.33146 -5.14525
496 6.01429 -0.67301 -2.70176 -5.33097
497 5.24952 1.8328 -0.70541 -4.86833
498 6.20763 1.0902 -3.38521 -5.08788
499 6.7538 0.263262 -5.77486 -3.4922
500 4.50594 -1.29253 -3.62227 -2.34776
501 4.50594 -1.29253 -3.62227 -2.34776
502 4.50594 -1.29253 -3.62227 -2.34776
503 4.50594 -1.29253 -3.62227 -2.34776
504 5.0722 -1.89623 -2.93105 -3.67973
505 1.79828 -0.916926 -1.10958 -1.07792
506 3.4135 1.72 -0.704441 -2.8631
507 1.79495 0.464392 0.899944 -1.48198
508 1.79495 0.464392 0.899944 -1.48198
509 1.79495 0.464392 0.899944 -1.48198
510 1.79495 0.464392 0.899944 -1.48198
511 1.79495 0.464392 0.899944 -1.48198
512 3.64641 -0.655206 -0.0886557 -3.58597
513 3.64641 -0.655206 -0.0886557 -3.58597
514 3.01143 0.61272 1.98771 -2.17768
515 3.01143 0.61272 1.98771 -2.17768
516 3.01143 0.61272 1.98771 -2.17768
517 3.01143 0.61272 1.98771 -2.17768
518 3.01143 0.61272 1.98771 -2.17768
519 3.01143 0.61272 1.98771 -2.17768
520 3.01143 0.61272 1.98771 -2.17768
521 3.01143 0.61272 1.98771 -2.17768
522 2.90967 -0.894428 1.43073 -2.37048
523 2.90967 -0.894428 1.43073 -2.37048
524 2.90967 -0.894428 1.43073 -2.37048
525 2.90967 -0.894428 1.43073 -2.37048
526 2.90967 -0.894428 1.43073 -2.37048
527 2.90967 -0.894428 1.43073 -2.37048
528 2.90967 -0.894428 1.43073 -2.37048
529 2.90967 -0.894428 1.43073 -2.37048
530 3.85355 -2.334 1.18321 -2.82883
531 3.94137 0.48074 -1.32405 -3.68105
532 3.94137 0.48074 -1.32405 -3.68105
533 6.15279 2.82896 -3.8777 -3.84931
534 6.15279 2.82896 -3.8777 -3.84931
535 3.99041 1.1683 -3.32008 -1.88031
536 3.99041 1.1683 -3.32008 -1.88031
537 5.29268 2.86755 -2.042 -3.9522
538 5.29268 2.86755 -2.042 -3.9522
539 5.54974 0.572853 -0.958298 -5.43628
540 3.29849 -0.889718 1.7268 -2.66582
541 3.3898 -1.26962 2.13431 -2.30729
542 3.32163 0.144683 1.40154 -3.00799
543 4.12268 -1.01645 -0.056237 -3.99502
544 4.12268 -1.01645 -0.056237 -3.99502
545 1.2323 -0.358756 0.173842 -1.16603
546 1.2323 -0.358756 0.173842 -1.16603
547 4.11522 -0.443305 0.278753 -4.08177
548 3.33725 1.16395 0.959245 -2.97696
549 3.33725 1.16395 0.959245 -2.97696
