#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           6     2.39824     0.94187    0.948186  0.00339602
           6     2.42389    0.932691    0.932017  0.00582609
           6     2.44954    0.926522    0.917766  0.00492267
           6     2.47519    0.914276    0.904618  0.00368547
           6     2.50084    0.910238    0.897517  0.00399155
           6     2.52649    0.905923    0.893287  0.00469806
           6     2.55214      0.9109    0.896076  0.00382283
           7   0.0128248           0           0           0
           7   0.0384745           0           0           0
           7   0.0641241           0           0           0
           7   0.0897737           0           0           0
           7    0.115423           0           0           0
           7    0.141073           0           0           0
           7    0.166723           0           0           0
           7    0.192372           0           0           0
           7    0.218022           0           0           0
           7    0.243672           0           0           0
           7    0.269321           0           0           0
           7    0.294971           0           0           0
           7     0.32062           0           0           0
           7     0.34627           0           0           0
           7     0.37192           0           0           0
           7    0.397569           0           0           0
           7    0.423219           0           0           0
           7    0.448869           0           0           0
           7    0.474518           0           0           0
           7    0.500168           0           0           0
           7    0.525818           0           0           0
           7    0.551467           0           0           0
           7    0.577117           0           0           0
           7    0.602767           0           0           0
           7    0.628416           0           0           0
           7    0.654066           0           0           0
           7    0.679715           0           0           0
           7    0.705365           0           0           0
           7    0.731015           0           0           0
           7    0.756664           0           0           0
           7    0.782314           0           0           0
           7    0.807964           0           0           0
           7    0.833613           0           0           0
           7    0.859263           0 5.27991e-05 3.20994e-05
           7    0.884913  0.00201751   0.0018341 0.000234705
           7    0.910562   0.0293961    0.027404  0.00066543
           7    0.936212    0.170565    0.172486  0.00293689
           7    0.961861     0.56124    0.568647  0.00300824
           7    0.987511     1.22581     1.22108  0.00716181
           7     1.01316     1.90145     1.87387  0.00936085
           7     1.03881     2.33079     2.34589  0.00870804
           7     1.06446     2.53951     2.54956  0.00984665
           7     1.09011     2.51732     2.54693  0.00970603
           7     1.11576     2.39514     2.41224  0.00505856
           7     1.14141     2.18687     2.18755   0.0106518
           7     1.16706     1.95103     1.95261   0.0106915
           7     1.19271     1.76283     1.75154  0.00727066
           7     1.21836     1.57087     1.54887  0.00827879
           7     1.24401     1.42205     1.38948   0.0108106
           7     1.26966     1.26211     1.24276   0.0062121
           7     1.29531     1.11801     1.11126   0.0061632
           7     1.32096     1.02081     1.01112  0.00421691
           7     1.34661    0.929774    0.936913  0.00542586
           7     1.37226    0.887066    0.873922  0.00378908
           7     1.39791    0.827728    0.823751  0.00505843
           7     1.42355    0.791812    0.785053  0.00475976
           7      1.4492    0.734741    0.738183  0.00375436
           7     1.47485    0.713693    0.709949  0.00289464
           7      1.5005    0.676706    0.692523  0.00419093
           7     1.52615     0.67727    0.684492  0.00504153
           7      1.5518    0.673448    0.677843  0.00390765
           7     1.57745    0.674364    0.670749  0.00491536
