#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         425    -5.43365    -5.63548   0.0196022
         426    -5.43296      -5.635    0.019562
         427    -5.43232    -5.63453   0.0195219
         428      -5.432    -5.63406   0.0194821
         429    -5.43167    -5.63358   0.0194424
         430    -5.43129    -5.63311   0.0194028
         431    -5.43114    -5.63265   0.0193635
         432    -5.43132    -5.63218   0.0193243
         433    -5.43135    -5.63172   0.0192852
         434    -5.43134    -5.63125   0.0192463
         435    -5.43126    -5.63079   0.0192075
         436    -5.43109    -5.63034   0.0191689
         437    -5.43051    -5.62988   0.0191305
         438    -5.43039    -5.62942   0.0190923
         439    -5.43012    -5.62897   0.0190542
         440    -5.42849    -5.62851   0.0190163
         441    -5.42715    -5.62806   0.0189787
         442    -5.42611     -5.6276   0.0189412
         443    -5.42461    -5.62714    0.018904
         444    -5.42327    -5.62668    0.018867
         445    -5.42149    -5.62622   0.0188303
         446    -5.41974    -5.62576   0.0187937
         447    -5.41759    -5.62529   0.0187575
         448    -5.41519    -5.62482   0.0187214
         449    -5.41303    -5.62435   0.0186857
         450    -5.41052    -5.62388   0.0186502
         451    -5.40827     -5.6234    0.018615
         452    -5.40571    -5.62292     0.01858
         453    -5.40375    -5.62243   0.0185453
         454    -5.40134    -5.62195   0.0185109
         455    -5.39912    -5.62146   0.0184767
         456    -5.39693    -5.62096   0.0184427
         457    -5.39463    -5.62047    0.018409
         458    -5.39254    -5.61997   0.0183755
         459    -5.39052    -5.61947   0.0183423
         460    -5.38886    -5.61897   0.0183093
         461    -5.38698    -5.61847   0.0182765
         462    -5.38547    -5.61796   0.0182438
         463    -5.38375    -5.61746   0.0182115
         464    -5.38212    -5.61695   0.0181793
         465    -5.38074    -5.61644   0.0181473
         466     -5.3793    -5.61593   0.0181155
         467    -5.37783    -5.61542   0.0180838
         468    -5.37647    -5.61491   0.0180524
         469     -5.3763     -5.6144   0.0180211
         470    -5.37582     -5.6139   0.0179899
