#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         537     -3.7913    -3.79646  0.00039909
         538    -3.79157    -3.79645 0.000398451
         539    -3.79154    -3.79644 0.000397816
         540    -3.79168    -3.79643 0.000397177
         541    -3.79244    -3.79642 0.000396511
         542    -3.79247    -3.79641 0.000395846
         543    -3.79265    -3.79641 0.000395178
         544    -3.79286     -3.7964 0.000394505
         545    -3.79293    -3.79639 0.000393833
         546    -3.79302    -3.79639  0.00039316
         547    -3.79328    -3.79638 0.000392483
         548    -3.79385    -3.79638 0.000391794
         549    -3.79398    -3.79637 0.000391104
         550    -3.79442    -3.79637 0.000390409
         551    -3.79472    -3.79637 0.000389712
         552    -3.79487    -3.79636 0.000389016
         553    -3.79487    -3.79636 0.000388322
         554    -3.79563    -3.79636 0.000387623
         555    -3.79654    -3.79636 0.000386925
         556    -3.79683    -3.79636  0.00038623
         557    -3.79712    -3.79636 0.000385539
         558    -3.79741    -3.79636 0.000384852
         559    -3.79767    -3.79637 0.000384171
         560    -3.79733    -3.79637 0.000383489
         561    -3.79773    -3.79637 0.000382813
         562    -3.79735    -3.79637 0.000382136
         563    -3.79742    -3.79637 0.000381461
         564    -3.79792    -3.79638 0.000380795
         565     -3.7981    -3.79638 0.000380133
         566    -3.79796    -3.79638 0.000379472
         567    -3.79811    -3.79639 0.000378815
         568     -3.7984    -3.79639 0.000378164
         569    -3.79897    -3.79639 0.000377527
         570    -3.79922     -3.7964 0.000376897
         571    -3.79976     -3.7964 0.000376283
         572    -3.80029    -3.79641 0.000375687
         573    -3.80065    -3.79642 0.000375104
         574     -3.8004    -3.79643 0.000374514
         575    -3.80044    -3.79643 0.000373928
         576    -3.80032    -3.79644  0.00037334
         577    -3.80065    -3.79645 0.000372764
         578    -3.80097    -3.79645 0.000372201
         579    -3.80114    -3.79646 0.000371646
         580     -3.8013    -3.79647 0.000371099
         581    -3.80177    -3.79648 0.000370572
         582    -3.80163    -3.79649 0.000370041
         583    -3.80164     -3.7965 0.000369512
         584    -3.80165    -3.79651 0.000368984
         585    -3.80167    -3.79652 0.000368459
         586    -3.80199    -3.79653 0.000367949
         587    -3.80247    -3.79654 0.000367461
         588    -3.80279    -3.79655  0.00036699
         589    -3.80311    -3.79656 0.000366537
         590    -3.80343    -3.79657 0.000366101
