#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         450      1.6544     1.87112   0.0190077
         451     1.65246     1.87064   0.0189718
         452     1.65055     1.87015    0.018936
         453     1.64868     1.86966   0.0189005
         454     1.64685     1.86917   0.0188653
         455     1.64509     1.86868   0.0188302
         456     1.64338     1.86819   0.0187954
         457     1.64173     1.86769   0.0187608
         458     1.64013     1.86719   0.0187265
         459      1.6386      1.8667   0.0186923
         460     1.63713      1.8662   0.0186583
         461     1.63571      1.8657   0.0186245
         462     1.63434      1.8652   0.0185909
         463     1.63304     1.86469   0.0185575
         464     1.63179     1.86419   0.0185243
         465      1.6306     1.86369   0.0184913
         466     1.62947     1.86319   0.0184585
         467     1.62842     1.86269   0.0184258
         468     1.62744     1.86218   0.0183933
         469     1.62654     1.86168   0.0183609
         470     1.62574     1.86118   0.0183287
         471     1.62504     1.86068   0.0182966
         472     1.62446     1.86018   0.0182647
         473     1.62399     1.85968   0.0182329
         474     1.62366     1.85918   0.0182013
         475     1.62347     1.85868   0.0181697
         476     1.62341     1.85819   0.0181383
         477     1.62349      1.8577   0.0181069
         478      1.6237     1.85721   0.0180756
         479     1.62403     1.85672   0.0180445
         480     1.62448     1.85624   0.0180134
         481     1.62503     1.85576   0.0179823
         482     1.62566     1.85528   0.0179513
         483     1.62634      1.8548   0.0179204
         484     1.62706     1.85433   0.0178896
         485     1.62779     1.85387   0.0178588
         486      1.6285      1.8534   0.0178281
         487     1.62916     1.85294   0.0177974
         488     1.62976     1.85249   0.0177668
         489     1.63026     1.85203   0.0177363
         490     1.63065     1.85158   0.0177058
         491     1.63089     1.85113   0.0176755
         492     1.63098     1.85068   0.0176452
         493      1.6309     1.85024   0.0176151
         494     1.63062     1.84979    0.017585
         495     1.63014     1.84935   0.0175551
         496     1.62944      1.8489   0.0175253
         497     1.62851     1.84846   0.0174956
         498     1.62736     1.84802   0.0174661
         499     1.62597     1.84757   0.0174368
         500     1.62433     1.84713   0.0174076
         501     1.62246     1.84668   0.0173787
         502     1.62035     1.84623   0.0173499
         503     1.61801     1.84577   0.0173213
         504     1.61544     1.84532    0.017293
         505     1.61266     1.84485   0.0172649
         506     1.60966     1.84439    0.017237
         507     1.60648     1.84392   0.0172094
         508     1.60313     1.84345   0.0171821
         509     1.59962     1.84297    0.017155
         510     1.59597     1.84248   0.0171282
         511     1.59222     1.84199   0.0171017
         512     1.58838      1.8415   0.0170754
         513     1.58448       1.841   0.0170495
         514     1.58056     1.84049   0.0170239
         515     1.57662     1.83998   0.0169985
         516     1.57271     1.83946   0.0169735
         517     1.56884     1.83894   0.0169487
         518     1.56504     1.83841   0.0169242
         519     1.56132     1.83787      0.0169
         520      1.5577     1.83734   0.0168761
         521      1.5542     1.83679   0.0168525
         522     1.55081     1.83624   0.0168291
         523     1.54754     1.83569    0.016806
         524     1.54439     1.83514   0.0167831
         525     1.54137     1.83458   0.0167604
         526     1.53846     1.83401    0.016738
         527     1.53566     1.83345   0.0167158
         528     1.53297     1.83288   0.0166939
         529     1.53038     1.83231   0.0166721
         530     1.52788     1.83173   0.0166505
         531     1.52547     1.83116   0.0166292
         532     1.52315     1.83058    0.016608
         533     1.52092        1.83    0.016587
         534     1.51878     1.82941   0.0165662
         535     1.51674     1.82883   0.0165455
         536      1.5148     1.82824    0.016525
         537     1.51299     1.82766   0.0165047
         538      1.5113     1.82707   0.0164844
         539     1.50977     1.82648   0.0164644
         540      1.5084     1.82589   0.0164444
         541     1.50722      1.8253   0.0164246
         542     1.50624     1.82471   0.0164048
         543     1.50548     1.82412   0.0163851
         544     1.50497     1.82354   0.0163655
         545     1.50472     1.82295   0.0163459
         546     1.50474     1.82237   0.0163264
         547     1.50505     1.82179   0.0163068
         548     1.50566     1.82121   0.0162873
         549     1.50658     1.82064   0.0162677
         550     1.50782     1.82007   0.0162481
         551     1.50938     1.81951   0.0162283
         552     1.51126     1.81895   0.0162086
         553     1.51346      1.8184   0.0161887
         554     1.51598     1.81785   0.0161686
         555      1.5188     1.81731   0.0161485
         556     1.52193     1.81678   0.0161282
         557     1.52534     1.81626   0.0161077
         558     1.52903     1.81574   0.0160871
         559     1.53298     1.81524   0.0160662
         560     1.53718     1.81474   0.0160452
         561      1.5416     1.81425    0.016024
         562     1.54623     1.81378   0.0160026
         563     1.55105     1.81331    0.015981
         564     1.55604     1.81285   0.0159591
         565     1.56119     1.81241   0.0159371
         566     1.56647     1.81197   0.0159149
         567     1.57187     1.81155   0.0158924
         568     1.57736     1.81114   0.0158698
         569     1.58293     1.81074    0.015847
         570     1.58856     1.81035    0.015824
         571     1.59424     1.80997   0.0158008
         572     1.59995      1.8096   0.0157774
         573     1.60568     1.80925   0.0157539
         574     1.61141      1.8089   0.0157302
         575     1.61715     1.80857   0.0157064
         576     1.62287     1.80824   0.0156824
         577     1.62857     1.80793   0.0156583
         578     1.63424     1.80763   0.0156341
         579     1.63989     1.80734   0.0156098
         580     1.64552     1.80706   0.0155854
         581      1.6511      1.8068   0.0155609
         582     1.65666     1.80654   0.0155363
         583     1.66218     1.80629   0.0155116
         584     1.66767     1.80605   0.0154869
         585     1.67312     1.80583   0.0154621
         586     1.67855     1.80561   0.0154372
