# VELOCITY:     AVE_POFV:        ERROR:
       2.025    0.406638   0.0250862
       2.175    0.353243   0.0163776
       2.325    0.338807   0.0153416
       2.475     0.30928   0.0399235
       2.625    0.326996   0.0398137
       2.775    0.301395   0.0231253
       2.925    0.220049   0.0219204
       3.075    0.212383   0.0158243
       3.225    0.114675   0.0144783
       3.375    0.131333   0.0167242
       3.525   0.0942551   0.0132725
       3.675   0.0729506  0.00775646
       3.825   0.0508025  0.00725061
       3.975   0.0275062  0.00575564
       4.125   0.0226708  0.00676191
       4.275   0.0101564   0.0034243
       4.425  0.00539506  0.00249804
       4.575  0.00247325  0.00159966
       4.725  0.00153909  0.00112747
       4.875 0.000872428 0.000660333
       5.025 0.000378601 0.000250919
       5.175 0.000296296 0.000227137
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00227238   0.0011603
       0.225   0.0210648  0.00490472
       0.375   0.0513117  0.00761861
       0.525    0.106447   0.0124372
       0.675    0.158843   0.0123668
       0.825     0.22017   0.0195103
       0.975    0.282986   0.0248337
       1.125    0.386007   0.0274251
       1.275    0.465285   0.0295334
       1.425    0.509093   0.0294572
       1.575    0.519684   0.0301652
       1.725    0.516779   0.0234637
       1.875    0.428067   0.0214424
       2.025     0.40875    0.023607
       2.175    0.354294   0.0153877
       2.325    0.340216   0.0144473
       2.475     0.32755   0.0413983
       2.625    0.326184   0.0373337
       2.775    0.292469   0.0233391
       2.925    0.218391    0.020613
       3.075    0.205513   0.0162581
       3.225    0.113912   0.0135935
       3.375    0.126925   0.0162495
       3.525   0.0921065   0.0126157
       3.675   0.0749961  0.00753658
       3.825    0.049591  0.00689791
       3.975    0.026466  0.00548909
       4.125   0.0215008  0.00643972
       4.275   0.0095216  0.00326859
       4.425  0.00505787  0.00236456
       4.575  0.00231867  0.00150713
       4.725   0.0014429   0.0010611
       4.875 0.000817901  0.00062131
       5.025 0.000354938 0.000236349
       5.175 0.000277778 0.000213694
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
